"player","STAT","estimate","std.error","statistic","p.value","upper","lower"
"LBJ","PTS",1.75187725707421,0.561351508996027,3.12082042890992,0.0018394364003449,2.31322876607024,1.19052574807819
"LBJ","AST",-0.171806567431073,0.205644382779848,-0.835454706365602,0.40360081531797,0.0338378153487746,-0.37745095021092
"LBJ","TRB",1.46630716466078,0.21560886779118,6.80077391844992,1.52248720517511e-11,1.68191603245196,1.2506982968696
"LBJ","BLK",0.201929994900845,0.0658478617817393,3.06661430511087,0.00220543966373808,0.267777856682585,0.136082133119106
"LBJ","STL",0.136276639587597,0.0911505735210626,1.49507166354917,0.135115606977535,0.227427213108659,0.0451260660665339
"LBJ","TOV",0.148472698570138,0.131747073868892,1.12695253268312,0.259950959665522,0.280219772439029,0.0167256247012459
"SC","PTS",2.99135446685878,0.964363607868005,3.10189480653672,0.00199004771243909,3.95571807472678,2.02699085899077
"SC","AST",-0.325236722931247,0.2904690357976,-1.11969498586374,0.263178141115918,-0.0347676871336473,-0.615705758728847
"SC","TRB",0.879888843145316,0.246418595136166,3.57070797623495,0.000377163696566347,1.12630743828148,0.633470248009151
"SC","BLK",0.0459551255660769,0.0520169117742925,0.88346508853662,0.377249125303144,0.0979720373403694,-0.00606178620821562
"SC","STL",-0.113035199670647,0.136259284959692,-0.829559612793244,0.407034046666769,0.0232240852890457,-0.249294484630339
"SC","TOV",0.365428159736515,0.186246175562268,1.9620706767981,0.0500988502739754,0.551674335298783,0.179181984174248
